Copia csv recuperato al link https://bit.ly/3rncK55 su segnalazione di Wired Italia https://bit.ly/3cvH3lI,,,,,,
Nome Istituto,Codice Istituto,Nome Scuola,Codice scuola,Soggetto Scolastico,Settimana,Casi
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: costruzione, ambiente e territorio) Istituzione scolastica di istruzione tecnic",AOTL010008,Studente,2020.49,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: tecnico e commerciale)",AOTD01000T,Studente,2020.42,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: tecnico e commerciale)",AOTD01000T,Studente,2020.43,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: tecnico e commerciale)",AOTD01000T,Studente,2020.46,1
"Istituzione scolastica di istruzione tecnica ""I. Manzetti""",AOTD010005,"Istituzione scolastica di istruzione tecnica ""I. Manzetti"" (Indirizzo: tecnico e commerciale)",AOTD01000T,Studente,2020.49,1
J.B. Cerlogne,AOIP008000,"infanzia Sarre ""Venance Bernin""",AO1A008060,Studente,2020.46,1
J.B. Cerlogne,AOIP008000,J.B. Cerlogne,-,Docente,2020.43,1
J.B. Cerlogne,AOIP008000,J.B. Cerlogne,-,Docente,2020.46,1
J.B. Cerlogne,AOIP008000,J.B. Cerlogne,-,Docente,2020.47,2
J.B. Cerlogne,AOIP008000,"primaria  Saint-Pierre ""Ecole Société Ouvrière - L'union de Saint-Pierre""",AO1E008020,Studente,2020.48,2
J.B. Cerlogne,AOIP008000,"primaria  Saint-Pierre ""Ecole Société Ouvrière - L'union de Saint-Pierre""",AO1E008020,Studente,2020.49,2
J.B. Cerlogne,AOIP008000,"primaria Sarre ""Cirillo Blanc""",AO1E008040,Studente,2020.45,1
J.B. Cerlogne,AOIP008000,"primaria Sarre ""Cirillo Blanc""",AO1E008040,Studente,2020.46,1
J.B. Cerlogne,AOIP008000,"primaria Sarre ""Venance Bernin""",AO1E008060,Studente,2020.42,1
J.B. Cerlogne,AOIP008000,"primaria Sarre ""Venance Bernin""",AO1E008060,Studente,2020.44,1
J.B. Cerlogne,AOIP008000,"primaria Sarre ""Venance Bernin""",AO1E008060,Studente,2020.48,1
Liceo classico artistico e musicale,AOIP019000,"Liceo classico, artistico e musicale",-,Docente,2020.41,2
Liceo classico artistico e musicale,AOIP019000,"Liceo classico, artistico e musicale",-,Altro,2020.43,1
Liceo classico artistico e musicale,AOIP019000,"Liceo classico, artistico e musicale",-,Docente,2020.43,1
Liceo classico artistico e musicale,AOIP019000,"Liceo classico, artistico e musicale",-,Docente,2020.44,3
